INDEX,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
163,stocktwits,HD,1.7,2.2,-0.5,1,1,1,2,3496,6/19/16,01:06.6
164,stocktwits,HD,0,0.07,-0.07,0,1,0,3,3496,6/18/16,01:09.2
165,stocktwits,HD,2.506,2.17,0.336,5,1,5,18,3496,6/17/16,01:10.5
166,stocktwits,HD,1.838333,1.895,-0.056667,6,2,3,24,3496,6/16/16,01:11.0
167,stocktwits,HD,2.075833,1.8,0.275833,12,1,12,31,3496,6/15/16,01:06.3
168,stocktwits,HD,1.49,1.778571,-0.288571,5,7,0.7143,33,3496,6/14/16,01:09.7
169,stocktwits,HD,0.685,1.5,-0.815,2,7,0.2857,17,3496,6/13/16,01:11.8
170,stocktwits,HD,2.23,1.14,1.09,1,2,0.5,6,3496,6/12/16,01:10.3
171,stocktwits,HD,0.82,0,0.82,1,0,0,3,3496,6/11/16,01:10.9
172,stocktwits,HD,0.826,1.135,-0.309,5,2,2.5,16,3496,6/10/16,01:10.8
173,stocktwits,HD,2.1125,0.62,1.4925,4,1,4,13,3496,6/9/16,01:09.3
174,stocktwits,HD,2.0325,2.555,-0.5225,4,2,2,15,3496,6/8/16,01:43.6
175,stocktwits,HD,2.152,2.5,-0.348,5,1,5,21,3496,6/7/16,01:32.3
176,stocktwits,HD,1.668571,1.87375,-0.205179,14,8,1.75,46,3496,6/6/16,01:10.1
177,stocktwits,HD,2.075,0,2.075,2,0,0,6,3496,6/5/16,01:26.5
178,stocktwits,HD,1.27,2.07,-0.8,2,1,2,4,3496,6/4/16,01:10.5
179,stocktwits,HD,2.253333,1.842,0.411333,3,5,0.6,12,3496,6/3/16,01:07.0
180,stocktwits,HD,2.483333,1.75,0.733333,3,1,3,12,3496,6/2/16,01:10.1
181,stocktwits,HD,1.966667,2.326667,-0.36,3,3,1,17,3496,6/1/16,01:01.3
182,stocktwits,HD,1.5875,2.4,-0.8125,4,1,4,13,3496,5/31/16,01:01.3
183,stocktwits,HD,0,0,0,0,0,0,1,3496,5/30/16,00:59.5
184,stocktwits,HD,0,2.67,-2.67,0,1,0,5,3496,5/29/16,01:00.6
185,stocktwits,HD,1.54,0,1.54,1,0,0,3,3496,5/28/16,01:11.5
186,stocktwits,HD,2.155,2.4,-0.245,2,2,1,18,3496,5/27/16,01:06.0
187,stocktwits,HD,1.92,0,1.92,7,0,0,18,3496,5/26/16,01:01.2
188,stocktwits,HD,1.83,1.705,0.125,4,4,1,16,3496,5/25/16,01:00.8
189,stocktwits,HD,2.222222,1.9575,0.264722,9,4,2.25,46,3496,5/24/16,01:00.7
190,stocktwits,HD,2.082,0,2.082,5,0,0,19,3496,5/23/16,01:01.8
191,stocktwits,HD,2.003333,0.28,1.723333,3,1,3,10,3496,5/22/16,01:01.4
192,stocktwits,HD,2.446667,1.32,1.126667,3,1,3,16,3496,5/21/16,01:01.8
193,stocktwits,HD,2.626667,1.46,1.166667,3,3,1,21,3496,5/20/16,00:58.2
194,stocktwits,HD,1.742727,2.646667,-0.903939,11,3,3.6667,46,3496,5/19/16,00:59.9
195,stocktwits,HD,1.8888,1.682222,0.206578,25,9,2.7778,100,3496,5/18/16,00:57.8
196,stocktwits,HD,1.932857,1.803065,0.129793,112,62,1.8065,467,3496,5/17/16,00:59.6
197,stocktwits,HD,1.91875,1.708485,0.210265,64,33,1.9394,255,3496,5/16/16,01:16.6
198,stocktwits,HD,2.044,1.796667,0.247333,10,3,3.3333,44,3496,5/15/16,01:16.1
199,stocktwits,HD,1.882857,0.11,1.772857,7,1,7,40,3496,5/14/16,00:56.6
200,stocktwits,HD,1.97,1.957333,0.012667,8,15,0.5333,49,3496,5/13/16,00:59.0
201,stocktwits,HD,2.075,2.57,-0.495,4,1,4,22,3496,5/12/16,00:57.2
202,stocktwits,HD,2.426,1.82,0.606,5,3,1.6667,38,3496,5/11/16,01:18.5
203,stocktwits,HD,2.255385,1.28,0.975385,13,2,6.5,40,3496,5/10/16,00:57.5
204,stocktwits,HD,0,0.33,-0.33,0,1,0,8,3496,5/9/16,00:55.9
205,stocktwits,HD,2.58,0,2.58,2,0,0,3,3496,5/8/16,00:57.3
206,stocktwits,HD,2,0,2,1,0,0,5,3496,5/7/16,00:56.1
207,stocktwits,HD,2.11,1.96,0.15,1,1,1,4,3496,5/6/16,01:21.9
208,stocktwits,HD,2.23,0,2.23,1,0,0,3,3496,5/5/16,00:58.0
209,stocktwits,HD,2.22,0,2.22,1,0,0,2,3496,5/4/16,00:57.2
210,stocktwits,HD,0,1.96,-1.96,0,2,0,9,3496,5/3/16,00:57.8
211,stocktwits,HD,2.72,1.913333,0.806667,2,3,0.6667,13,3496,5/2/16,00:57.2
212,stocktwits,HD,0,0,0,0,0,0,3,3496,5/1/16,00:57.0
213,stocktwits,HD,0,0,0,0,0,0,1,3496,4/30/16,00:54.9
214,stocktwits,HD,2.5,2.25,0.25,4,1,4,9,3496,4/29/16,00:57.2
215,stocktwits,HD,0.962,1.72,-0.758,5,2,2.5,15,3496,4/28/16,00:57.2
216,stocktwits,HD,2.0275,2.4,-0.3725,4,1,4,17,3496,4/27/16,01:16.3
217,stocktwits,HD,0,0,0,0,0,0,6,3496,4/26/16,00:57.5
218,stocktwits,HD,2.066667,2.59,-0.523333,3,1,3,12,3496,4/25/16,00:56.9
219,stocktwits,HD,2.44,0,2.44,1,0,0,8,3496,4/24/16,00:55.9
220,stocktwits,HD,1.8,0,1.8,1,0,0,3,3496,4/23/16,00:56.1
221,stocktwits,HD,0,0,0,0,0,0,11,3496,4/22/16,00:55.9
222,stocktwits,HD,2.535,1.66,0.875,2,2,1,8,3496,4/21/16,00:56.9
223,stocktwits,HD,1.513333,1.88,-0.366667,3,1,3,5,3496,4/20/16,00:56.2
224,stocktwits,HD,1.803333,0,1.803333,6,0,0,13,3496,4/19/16,00:57.6
225,stocktwits,HD,2.55875,1.5,1.05875,8,1,8,25,3496,4/18/16,00:56.1
226,stocktwits,HD,2.47,0,2.47,2,0,0,4,3496,4/17/16,00:54.9
227,stocktwits,HD,2.33,0,2.33,1,0,0,2,3496,4/16/16,00:55.3
228,stocktwits,HD,2.466667,0,2.466667,3,0,0,7,3496,4/15/16,00:57.0
229,stocktwits,HD,2.423333,0,2.423333,3,0,0,10,3496,4/14/16,00:55.9
230,stocktwits,HD,2.23,2.34,-0.11,1,1,1,11,3496,4/13/16,00:57.9
231,stocktwits,HD,1.921667,0,1.921667,6,0,0,9,3496,4/12/16,00:57.1
232,stocktwits,HD,2.23,0,2.23,1,0,0,6,3496,4/11/16,00:56.1
233,stocktwits,HD,0,0,0,0,0,0,3,3496,4/10/16,00:53.9
234,stocktwits,HD,0,2.5,-2.5,0,1,0,2,3496,4/9/16,00:57.0
235,stocktwits,HD,2.57,0,2.57,2,0,0,2,3496,4/8/16,00:56.7
236,stocktwits,HD,0,2.5,-2.5,0,1,0,7,3496,4/7/16,00:54.7
237,stocktwits,HD,2.246667,0,2.246667,3,0,0,14,3496,4/6/16,00:53.9
238,stocktwits,HD,2.2,2.855,-0.655,2,2,1,10,3496,4/5/16,00:57.4
239,stocktwits,HD,2.276,1.395,0.881,5,2,2.5,24,3496,4/4/16,00:56.1
240,stocktwits,HD,2.72,0,2.72,2,0,0,6,3496,4/3/16,00:56.7
241,stocktwits,HD,3.01,0,3.01,4,0,0,14,3496,4/2/16,00:56.9
242,stocktwits,HD,1.961667,2.245,-0.283333,6,2,3,23,3496,4/1/16,00:56.4
243,stocktwits,HD,1.64,2.13,-0.49,4,1,4,14,3496,3/31/16,00:57.5
244,stocktwits,HD,2.505,0,2.505,2,0,0,13,3496,3/30/16,00:58.2
245,stocktwits,HD,2.456667,2.06,0.396667,3,3,1,16,3496,3/29/16,00:57.0
246,stocktwits,HD,1.416667,1.96,-0.543333,3,1,3,9,3496,3/28/16,00:56.8
247,stocktwits,HD,2.556667,0,2.556667,3,0,0,5,3496,3/27/16,00:56.5
248,stocktwits,HD,0,0,0,0,0,0,2,3496,3/26/16,00:54.1
249,stocktwits,HD,1.92,2.5,-0.58,8,1,8,18,3496,3/25/16,00:56.1
250,stocktwits,HD,2.34,0,2.34,2,0,0,10,3496,3/24/16,00:55.7
251,stocktwits,HD,0.996667,1.96,-0.963333,3,1,3,19,3496,3/23/16,00:57.5
252,stocktwits,HD,0,1.99,-1.99,0,2,0,7,3496,3/22/16,00:57.9
253,stocktwits,HD,2.07,1.68,0.39,2,3,0.6667,15,3496,3/21/16,00:57.1
254,stocktwits,HD,2.165,0.94,1.225,2,2,1,6,3496,3/20/16,00:57.0
255,stocktwits,HD,0,0,0,0,0,0,3,3496,3/19/16,00:54.3
256,stocktwits,HD,2.6,0.75,1.85,2,1,2,17,3496,3/18/16,00:57.4
257,stocktwits,HD,2.05,1.89,0.16,3,1,3,10,3496,3/17/16,01:03.6
258,stocktwits,HD,1.973333,2.475,-0.501667,3,2,1.5,13,3496,3/16/16,00:55.7
259,stocktwits,HD,1.98,0,1.98,9,0,0,25,3496,3/15/16,00:59.5
260,stocktwits,HD,2.105,2.2,-0.095,2,5,0.4,14,3496,3/14/16,01:17.0
261,stocktwits,HD,0,0.96,-0.96,0,1,0,8,3496,3/13/16,00:52.4
262,stocktwits,HD,0,0,0,0,0,0,2,3496,3/12/16,00:54.7
263,stocktwits,HD,2.025,0.1,1.925,2,1,2,10,3496,3/11/16,01:09.8
264,stocktwits,HD,1.825,0,1.825,4,0,0,7,3496,3/10/16,00:53.0
265,stocktwits,HD,2.048333,0.06,1.988333,6,1,6,17,3496,3/9/16,01:06.7
266,stocktwits,HD,2.154444,1.61,0.544444,9,1,9,20,3496,3/8/16,00:56.3
267,stocktwits,HD,2.075,1.81,0.265,4,2,2,15,3496,3/7/16,00:56.9
268,stocktwits,HD,2.44,0,2.44,1,0,0,4,3496,3/6/16,00:55.4
269,stocktwits,HD,3,0,3,1,0,0,6,3496,3/5/16,00:54.0
270,stocktwits,HD,1.960833,1.51,0.450833,12,4,3,30,3496,3/4/16,00:56.0
271,stocktwits,HD,2.0925,0.88,1.2125,8,3,2.6667,18,3496,3/3/16,00:53.9
272,stocktwits,HD,2.066667,1.96,0.106667,3,1,3,8,3496,3/2/16,01:25.7
273,stocktwits,HD,1.57,0,1.57,6,0,0,13,3496,3/1/16,01:18.4
274,stocktwits,HD,1.716667,1.87,-0.153333,3,2,1.5,21,3496,2/29/16,00:56.0
275,stocktwits,HD,0,0.82,-0.82,0,1,0,11,3496,2/28/16,00:53.9
276,stocktwits,HD,0,0,0,0,0,0,2,3496,2/27/16,00:55.0
277,stocktwits,HD,2.19,0.14,2.05,3,1,3,22,3496,2/26/16,00:56.9
278,stocktwits,HD,2.345,1.05,1.295,4,2,2,16,3496,2/25/16,00:55.8
279,stocktwits,HD,1.827,1.534,0.293,10,5,2,46,3496,2/24/16,00:54.9
280,stocktwits,HD,1.855211,1.381786,0.473426,71,28,2.5357,258,3496,2/23/16,00:51.6
281,stocktwits,HD,1.8956,2.289333,-0.393733,25,15,1.6667,122,3496,2/22/16,00:47.3
282,stocktwits,HD,1.558333,2.33,-0.771667,6,1,6,39,3496,2/21/16,00:45.5
283,stocktwits,HD,1.83,0.87,0.96,4,2,2,32,3496,2/20/16,00:46.6
284,stocktwits,HD,2.345,2.44,-0.095,2,4,0.5,28,3496,2/19/16,06:19.7
285,stocktwits,HD,2.452,0,2.452,5,0,0,22,3496,2/18/16,00:48.5
286,stocktwits,HD,2.207143,1.803333,0.40381,7,3,2.3333,31,3496,2/17/16,00:48.7
287,stocktwits,HD,1.545,1.28,0.265,4,2,2,22,3496,2/16/16,00:47.7
288,stocktwits,HD,2.034,0,2.034,5,0,0,13,3496,2/15/16,00:45.6
289,stocktwits,HD,2.25,0,2.25,1,0,0,1,3496,2/14/16,00:45.9
290,stocktwits,HD,1.64,0,1.64,2,0,0,5,3496,2/13/16,00:43.1
291,stocktwits,HD,2.47,2,0.47,1,2,0.5,10,3496,2/12/16,00:47.8
292,stocktwits,HD,1.866667,3.15,-1.283333,3,1,3,10,3496,2/11/16,00:46.2
293,stocktwits,HD,1.935,0,1.935,4,0,0,10,3496,2/10/16,00:44.6
294,stocktwits,HD,2.452,2.44,0.012,5,1,5,16,3496,2/9/16,00:44.3
295,stocktwits,HD,1.84,2.4425,-0.6025,7,4,1.75,21,3496,2/8/16,00:47.9
296,stocktwits,HD,1.65,0,1.65,2,0,0,6,3496,2/7/16,00:46.1
297,stocktwits,HD,0,0,0,0,0,0,4,3496,2/6/16,00:44.1
298,stocktwits,HD,1.365,2.258,-0.893,2,10,0.2,23,3496,2/5/16,00:47.6
299,stocktwits,HD,1.97375,2.242857,-0.269107,8,7,1.1429,30,3496,2/4/16,00:47.2
300,stocktwits,HD,0.8225,1.658,-0.8355,4,5,0.8,27,3496,2/3/16,00:46.8
301,stocktwits,HD,0,1.545,-1.545,0,2,0,9,3496,2/2/16,00:47.9
302,stocktwits,HD,3,0.21,2.79,1,1,1,7,3496,2/1/16,00:45.8
303,stocktwits,HD,1.824,0,1.824,5,0,0,12,3496,1/31/16,00:44.0
304,stocktwits,HD,2.1925,0.975,1.2175,4,2,2,16,3496,1/29/16,01:08.6
305,stocktwits,HD,1.31,0,1.31,2,0,0,10,3496,1/28/16,01:00.5
306,stocktwits,HD,1.48,0,1.48,3,0,0,16,3496,1/27/16,01:04.3
307,stocktwits,HD,2.513333,0,2.513333,3,0,0,10,3496,1/26/16,20:29.3
308,stocktwits,HD,2.004,0,2.004,15,0,0,32,3496,1/25/16,20:29.1
