,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
98,stocktwits,XLF,2.333333,1.343333,0.99,3,3,1,25,19656,8/7/16,01:17.0
99,stocktwits,XLF,2.047143,0,2.047143,7,0,0,12,19656,8/6/16,01:21.7
100,stocktwits,XLF,2.002353,1.47,0.532353,17,4,4.25,52,19656,8/5/16,01:23.1
101,stocktwits,XLF,0.54,0,0.54,1,0,0,14,19656,8/4/16,01:23.1
102,stocktwits,XLF,1.69,1.5,0.19,5,1,5,18,19656,8/3/16,01:23.3
103,stocktwits,XLF,2.1,2.1,0,1,1,1,12,19656,8/2/16,01:23.6
104,stocktwits,XLF,2.11,1.655,0.455,6,2,3,19,19656,8/1/16,01:22.6
105,stocktwits,XLF,1.415,0,1.415,2,0,0,8,19656,7/31/16,01:18.1
106,stocktwits,XLF,1.196667,0.965,0.231667,3,2,1.5,7,19656,7/30/16,01:22.8
107,stocktwits,XLF,2.206667,2.495,-0.288333,6,2,3,22,19656,7/29/16,01:22.4
108,stocktwits,XLF,2.1175,2.773333,-0.655833,4,3,1.3333,28,19656,7/28/16,01:22.2
109,stocktwits,XLF,1.52,1.925,-0.405,2,2,1,22,19656,7/27/16,01:24.1
110,stocktwits,XLF,2.266,1.943333,0.322667,5,3,1.6667,22,19656,7/26/16,01:24.3
111,stocktwits,XLF,2.495,1.681667,0.813333,4,6,0.6667,30,19656,7/25/16,01:22.6
112,stocktwits,XLF,2.153333,0,2.153333,3,0,0,14,19656,7/24/16,01:18.0
113,stocktwits,XLF,2.195,0,2.195,2,0,0,14,19656,7/23/16,01:17.8
114,stocktwits,XLF,1.88,0.55,1.33,3,2,1.5,13,19656,7/22/16,01:28.3
115,stocktwits,XLF,2.258333,1.653333,0.605,6,3,2,25,19656,7/21/16,01:29.1
116,stocktwits,XLF,1.381,0.8525,0.5285,10,4,2.5,41,19656,7/20/16,01:27.3
117,stocktwits,XLF,1.851667,2.46,-0.608333,6,2,3,26,19656,7/19/16,01:26.6
118,stocktwits,XLF,2.292,1.89,0.402,5,1,5,27,19656,7/18/16,01:27.2
119,stocktwits,XLF,1.133333,0,1.133333,3,0,0,24,19656,7/17/16,01:03.9
120,stocktwits,XLF,1.27,1.245,0.025,2,2,1,16,19656,7/16/16,01:16.2
121,stocktwits,XLF,2.038,1.493333,0.544667,5,6,0.8333,29,19656,7/15/16,01:29.5
122,stocktwits,XLF,2.1425,1.276,0.8665,20,5,4,60,19656,7/14/16,01:28.1
123,stocktwits,XLF,2.1025,2.855,-0.7525,8,2,4,32,19656,7/13/16,01:25.8
124,stocktwits,XLF,1.809,1.976667,-0.167667,10,6,1.6667,35,19656,7/12/16,01:30.0
